Date;Open;High;Low;Close;Med_21;Med_7;Med_43;Med_put_strong;Med_put_weak;Med_call_strong;Med_call_weak;%K;%D;over_call;over_put;bollinger_up;bollinger_down;bollinger_up_REVERSE;bollinger_down_REVERSE;RSI;RSI_up_REVERSE;RSI_down_REVERSE;SAR_bear;SAR_bull;Movimento;PIP
2023-01-18 10:35:00;1,08457;1,08457;1,08398;1,08422;1,08226;1,08415;1,080053023;0;0;1;0;79,2147806;82,44803695;0;0;1,085659214;1,079191786;0;0;69,16239145;0;0;0;0;0;-0,035
2023-01-18 10:40:00;1,08421;1,08462;1,08375;1,08415;1,082507619;1,084311429;1,080215814;0;0;1;0;77,01421801;81,17564003;0;0;1,085722794;1,079557206;0;0;68,3573957;0;0;0;0;0;-0,007
2023-01-18 10:45:00;1,08416;1,08438;1,0837;1,08372;1,082691429;1,084334286;1,08037093;0;0;1;0;66,34615385;74,19171749;0;0;1,085641238;1,080032762;0;0;63,47031677;0;0;0;0;1;-0,043
2023-01-18 10:50:00;1,08371;1,08431;1,08349;1,0841;1,082897143;1,084224286;1,080537907;0;0;1;0;69,55223881;70,97087022;0;0;1,085670666;1,080346334;0;0;65,79745455;0;0;0;0;1;0,038
2023-01-18 10:55:00;1,08411;1,0843;1,0836;1,0843;1,08307;1,084192857;1,080706512;0;0;1;0;73,20261438;69,70033568;0;0;1,085760303;1,080548697;0;0;66,98941143;0;0;0;0;0;0,02
2023-01-18 11:00:00;1,0843;1,08435;1,0839;1,08391;1,083190476;1,084138571;1,080866512;0;0;1;0;54,16666667;65,64050662;0;0;1,085717437;1,080882563;0;0;62,4211282;0;0;0;0;1;-0,039
2023-01-18 11:05:00;1,08392;1,08472;1,08368;1,08463;1,083363333;1,084147143;1,081035814;0;0;1;0;81,22605364;69,53177823;1;0;1,085732455;1,081217545;0;0;66,90780701;0;0;0;0;0;0,072
2023-01-18 11:10:00;1,08464;1,08492;1,08444;1,08455;1,08352619;1,084194286;1,08120093;0;0;1;0;74,55357143;69,98209725;0;0;1,085627001;1,081679999;0;0;65,96539763;0;0;0;0;1;-0,008
2023-01-18 11:15:00;1,08453;1,08566;1,08451;1,08537;1,083735238;1,084368571;1,08138;0;0;1;0;89,56834532;81,7826568;1;0;1,085620637;1,082100363;0;0;70,54502382;0;0;0;0;0;0,082
2023-01-18 11:20:00;1,08538;1,08539;1,08481;1,08491;1,083910476;1,084538571;1,08155;0;0;1;0;65,43778802;76,51990159;0;0;1,085679137;1,082281863;0;0;65,24152907;0;0;0;0;1;-0,046
